Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
0	157.7373865	25758.581624614075	5682.408971726894	1.085791826248169	1.057263970375061
1	289.1264536	3605.1035790783353	1558.4147628843784	0.863376796245575	0.8534446358680725
2	401.7580051	2624.9120310945436	1161.1089774370193	0.7027245759963989	0.70069819688797
3	512.5628157	2040.0278476085514	980.1633094102144	0.49006280303001404	0.4840162992477417
4	625.2536392000001	1526.729635848198	865.2661906182766	0.7448473572731018	0.7500633001327515
5	734.4378647000001	1246.8168423507595	776.4197227805853	0.770712673664093	0.7515738010406494
6	848.2427036	1081.9199221080635	705.745755136013	0.3805728852748871	0.3904133141040802
7	964.6764732	954.9045825747307	646.6748092323542	0.6194252967834473	0.6305903792381287
8	1076.8141221	870.0034595939796	595.34840105474	0.3230806589126587	0.3181283175945282
9	1186.7306459000001	843.5328162414953	552.3550944924355	0.3299665153026581	0.3285757899284363
