Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
0	0.6608695	3583.3023986816406	389.0711421966553	8.287830352783203	10.3736572265625
1	0.8522378999999995	404.51703214645386	372.0797290802002	2.827471971511841	1.5168613195419312
2	1.0168694	121.27662312984467	326.70059394836426	4.237985610961914	2.7186505794525146
3	1.1844811999999996	104.77087092399597	256.6106777191162	2.6759073734283447	1.394171118736267
4	1.3806564999999997	79.74568748474121	161.78430652618408	2.642246961593628	1.3524181842803955
5	1.5380873	75.55000752210617	76.98190498352051	2.7028086185455322	1.383287787437439
6	1.7004511999999998	77.19689631462097	58.01103973388672	2.5837790966033936	1.2709178924560547
7	1.8811852	66.34981882572174	54.77483654022217	2.525306463241577	1.2125877141952515
8	2.0479003999999996	59.96165919303894	55.70840644836426	2.5992705821990967	1.3407135009765625
9	2.2124916	54.00438165664673	54.02800798416138	2.541555643081665	1.2954864501953125
10	2.3778138	43.62489211559296	54.11697483062744	2.232592821121216	0.9607738852500916
11	2.5428971000000002	42.146901190280914	52.88854122161865	2.304920196533203	1.1297168731689453
12	2.7033154	35.307536125183105	55.22679042816162	2.180604934692383	0.9804035425186157
13	2.8634888	25.863245368003845	54.59773921966553	2.09114670753479	0.9123126864433289
14	3.0204585	18.499620258808136	51.67224955558777	1.9853463172912598	0.8543888330459595
15	3.1817567	12.754838615655899	53.42947578430176	1.8244259357452393	0.7536361813545227
16	3.3393698	9.747273840010166	53.90118193626404	1.558309555053711	0.4698066711425781
17	3.4983734999999996	8.030364021658897	52.08092021942139	1.788879632949829	1.3462696075439453
18	3.6583236	6.779674641788006	51.91132068634033	1.3770983219146729	0.3742690980434418
19	3.8170650000000004	4.408085614442825	50.858088970184326	1.5407190322875977	1.0466495752334595
20	3.9764782	4.205193758010864	50.49216604232788	1.2244081497192383	0.3450855314731598
21	4.136687	3.3916832357645035	50.538763761520386	1.0502150058746338	0.28458595275878906
22	4.2986957	4.681927889585495	51.13600444793701	1.2631800174713135	0.8779701590538025
23	4.4599003	2.8185336142778397	50.18986654281616	1.1890795230865479	0.7495777010917664
24	4.6179511	2.5134798139333725	51.574902296066284	0.9670112133026123	0.27213820815086365
25	4.775232000000001	2.2206945419311523	48.65013122558594	0.9378352165222168	0.33225059509277344
26	4.9325548999999995	2.4210419561713934	48.30408334732056	0.9339005947113037	0.41766053438186646
27	5.0904620000000005	2.1504881866276264	48.34489870071411	1.1022744178771973	0.9075878262519836
